"CountyName","DwellingTypeDescr","Year_of_Construction","TypeofRating","EnergyRating","BerRating","GroundFloorArea.sq.m.","UValueWall","UValueRoof","UValueFloor","UValueWindow","UvalueDoor","WallArea","RoofArea","FloorArea","WindowArea","DoorArea","NoStoreys","CO2Rating","MainSpaceHeatingFuel","MainWaterHeatingFuel","HSMainSystemEfficiency","MultiDwellingMPRN","TGDLEdition","MPCDERValue","HSEffAdjFactor","HSSupplHeatFraction","HSSupplSystemEff","WHMainSystemEff","WHEffAdjFactor","SupplSHFuel","SupplWHFuel","SHRenewableResources","WHRenewableResources","NoOfChimneys","NoOfOpenFlues","NoOfFansAndVents","NoOfFluelessGasFires","DraftLobby","VentilationMethod","FanPowerManuDeclaredValue","HeatExchangerEff","StructureType","SuspendedWoodenFloor","PercentageDraughtStripped","NoOfSidesSheltered","PermeabilityTest","PermeabilityTestResult","TempAdjustment","HeatSystemControlCat","HeatSystemResponseCat","NoCentralHeatingPumps","CHBoilerThermostatControlled","NoOilBoilerHeatingPumps","OBBoilerThermostatControlled","OBPumpInsideDwelling","NoGasBoilerHeatingPumps","WarmAirHeatingSystem","UndergroundHeating","GroundFloorUValue","DistributionLosses","StorageLosses","ManuLossFactorAvail","SolarHotWaterHeating","ElecImmersionInSummer","CombiBoiler","KeepHotFacility","WaterStorageVolume","DeclaredLossFactor","TempFactorUnadj","TempFactorMultiplier","InsulationType","InsulationThickness","PrimaryCircuitLoss","CombiBoilerAddLoss","ElecConsumpKeepHot","ApertureArea","ZeroLossCollectorEff","CollectorHeatLossCoEff","AnnualSolarRadiation","OvershadingFactor","CylinderStat","SolarStorageVolume","VolumeOfPreHeatStore","CombinedCylinder","ElectricityConsumption","SWHPumpSolarPowered","ChargingBasisHeatConsumed","gsdHSSupplHeatFraction","gsdHSSupplSystemEff","DistLossFactor","CHPUnitHeatFraction","CHPSystemType","CHPElecEff","CHPHeatEff","CHPFuelType","SupplHSFuelTypeID","gsdSHRenewableResources","gsdWHRenewableResources","SolarHeatFraction","DeliveredLightingEnergy","DeliveredEnergyPumpsFans","DeliveredEnergyMainWater","DeliveredEnergyMainSpace","PrimaryEnergyLighting","PrimaryEnergyPumpsFans","PrimaryEnergyMainWater","PrimaryEnergyMainSpace","CO2Lighting","CO2PumpsFans","CO2MainWater","CO2MainSpace","GroundFloorArea","GroundFloorHeight","FirstFloorArea","FirstFloorHeight","SecondFloorArea","SecondFloorHeight","ThirdFloorArea","ThirdFloorHeight","ThermalBridgingFactor","ThermalMassCategory","PredominantRoofTypeArea","PredominantRoofType","LowEnergyLightingPercent","TotalDeliveredEnergy","DeliveredEnergySecondarySpace","DeliveredEnergySupplementaryWater","LivingAreaPercent","CO2SecondarySpace","CO2SupplementaryWater","PrimaryEnergySecondarySpace","PrimaryEnergySupplementaryWater","HESSchemeUpgrade","RoomInRoofArea","PurposeOfRating","DateOfAssessment","FirstEnergyTypeId","FirstEnergyType_Description","FirstEnerProdComment","FirstEnerProdDelivered","FirstPartLTotalContribution","FirstEnerProdConvFactor","FirstEnerProdCO2EmissionFactor","FirstEnerConsumedComment","FirstEnerConsumedDelivered","FirstEnerConsumedConvFactor","FirstEnerConsumedCO2EmissionFactor","SecondEnergyTypeId","SecondEnergyType_Description","SecondEnerProdComment","SecondEnerProdDelivered","SecondPartLTotalContribution","SecondEnerProdConvFactor","SecondEnerProdCO2EmissionFactor","SecondEnerConsumedComment","SecondEnerConsumedDelivered","SecondEnerConsumedConvFactor","SecondEnerConsumedCO2EmissionFactor","ThirdEnergyTypeId","ThirdEnergyType_Description","ThirdEnerProdComment","ThirdEnerProdDelivered","ThirdPartLTotalContribution","ThirdEnerProdConvFactor","ThirdEnerProdCO2EmissionFactor","ThirdEnerConsumedComment","ThirdEnerConsumedDelivered","ThirdEnerConsumedConvFactor","ThirdEnerConsumedCO2EmissionFactor","FirstBoilerFuelType","FirstHeatGenPlantEff","FirstPercentageHeat","SecondBoilerFuelType","SecondHeatGenPlantEff","SecondPercentageHeat","ThirdBoilerFuelType","ThirdHeatGenPlantEff","ThirdPercentageHeat","SolarSpaceHeatingSystem","TotalPrimaryEnergyFact","TotalCO2Emissions","FirstWallType_Description","FirstWallDescription","FirstWallArea","FirstWallUValue","FirstWallIsSemiExposed","FirstWallAgeBandId","FirstWallTypeId","SecondWallType_Description","SecondWallDescription","SecondWallArea","SecondWallUValue","SecondWallIsSemiExposed","SecondWallAgeBandId","SecondWallTypeId","ThirdWallType_Description","ThirdWallDescription","ThirdWallArea","ThirdWallUValue","ThirdWallIsSemiExposed","ThirdWallAgeBandId","ThirdWallTypeId"
"Waterford City","Semi-detached house",2004,"Existing       ","B2",117.98,81.61,0.35,0.3,0.42,1.52,3,65.57,61.19,56.34,20.56,1.99,2,20.93,"Electricity                   ","Electricity                   ",369,"NO",0,51.59,1,0.1,67.1,148,1,11,1,2,2,0,1,1,0,"NO","Natural vent.",0,0,"Masonry                       ","No                            ",100,2,"NO",0,0,2,1,1,"YES",0,"NO ","NO ",0,"NO ","NO ",0,293.231,"YES","NO ","NO ","NO ","None                          ","None                          ",150,0,0.6,0.9,"Factory Insulated             ",35,"Boiler with uninsulated primar",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,412.457,130,2070.859,762.349,1113.634,351,5591.319,2058.342,265.21,83.59,1331.562,490.19,54.91,2.4,26.7,2.56,0,0,0,0,0.15,"Medium-high         ",28.665,"Side Attic-Default used       ",88,3841.482,465.817,0,33.5621,11.645,0,512.399,0,0,0,"Grant Support","Oct  6 2018 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300mm Filled Cavity","50mm EPS Bonded Bead added",47.577,0.3,"No",9,5,"","Nee Walls-Default used into un",17.992,0.484,"Yes",9,10,"","",NA,NA,"",NA,NA
"Dublin 4","Detached house",1970,"Existing       ","E1",338.55,315.39,1.68,2.3,0.73,3.14,3,228.21,157.05,186.07,51.69,1.85,2,71.27,"Mains Gas                     ","Mains Gas                     ",72,"NO",0,29.67,0.95,0.1,30,72,0.95,8,1,2,2,1,0,0,0,"NO","Natural vent.",0,0,"Masonry                       ","No                            ",100,1,"NO",0,0,2,1,1,"YES",0,"NO ","NO ",1,"NO ","NO ",0,656.579,"YES","NO ","NO ","NO ","None                          ","None                          ",190,0,0.6,1.17,"Loose Jacket                  ",20,"Boiler with uninsulated primar",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,2134.796,175,10083.615,63721.296,5763.949,472.5,11091.977,70093.426,1372.674,112.525,2046.974,12935.423,186.07,2.52,129.32,2.67,0,0,0,0,0.15,"Medium              ",142.48,"",50,92257.435,16142.728,0,8.6179,6327.949,0,19371.274,0,0,0,"Sale","Oct  5 2018 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300mm Cavity","",203.46,1.78,"No",5,4,"Timber Frame","",24.75,0.863,"Yes",5,8,"","",NA,NA,"",NA,NA
"Dublin 2","Ground-floor apartment",1994,"Existing       ","D2",265.94,55.2,0.58,0,0.47,2.8,1.36,31.89,0,55.2,8.42,1.83,1,52.29,"Electricity                   ","Electricity                   ",100,"NO",0,53.18,1,0.2,100,100,1,28,1,2,2,0,0,2,0,"YES","Natural vent.",0,0,"Masonry                       ","No                            ",100,4,"NO",0,0.3,2,1,0,"NO ",0,"NO ","NO ",0,"NO ","NO ",0,231.676,"YES","NO ","NO ","NO ","None                          ","None                          ",120,0,0.6,1,"Factory Insulated             ",30,"Electric immersion heater     ",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,373.635,0,2044.506,2415.083,1008.815,0,5520.166,6520.724,240.247,0,1314.617,1552.898,55.2,2.53,0,0,0,0,0,0,0.15,"Medium-high         ",NA,"",50,5436.995,603.771,0,47.3188,388.225,0,1630.182,0,0,0,"Sale","Oct  2 2018 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",30.29,0.55,"No",8,10,"","",1.6,1.13,"No",8,14,"","",NA,NA,"",NA,NA
"Dublin 3","End of terrace house",1936,"Existing       ","D2",288.78,114.15,1.28,0.39,0.74,2.67,3,98.72,69.23,87.84,19.08,2.52,2,57.52,"Mains Gas                     ","Mains Gas                     ",78.2,"NO",0,33.27,0.95,0.1,65,78.2,0.95,8,28,2,2,0,1,1,0,"NO","Natural vent.",0,0,"Masonry                       ","No                            ",95,3,"NO",0,0.5,1,1,1,"NO ",0,"NO ","NO ",1,"NO ","NO ",0,363.425,"NO ","YES","NO ","NO ","Instantaneous, without keep-ho","None                          ",0,0,0,0,"None                          ",0,"Combi boiler                  ",600,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,839.616,175,3261.318,21269.57,2266.963,472.5,3587.45,23396.527,539.873,112.525,662.048,4317.723,77.02,2.38,37.13,2.63,0,0,0,0,0.15,"High                ",33.33,"",37,28246.921,2701.417,0,12.6675,1058.955,0,3241.7,0,0,0,"Sale","Oct 18 2018 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Concrete Hollow Block","extension",49.1,0.55,"No",8,7,"Stone","",44.66,2.1,"No",3,1,"Stone","to sunroom",3.28,1.377,"Yes",3,1
"Co. Louth","Semi-detached house",1997,"Existing       ","B3",145.85,117.25,0.26,0.17,0.32,2.95,3,89.83,70.91,71.19,18.05,2.96,2,30.49,"Mains Gas                     ","Mains Gas                     ",90.2,"NO",0,31.18,1,0.1,30,90.2,1,8,1,2,2,1,0,2,0,"NO","Natural vent.",0,0,"Masonry                       ","No                            ",100,4,"NO",0,0,2,1,1,"YES",0,"NO ","NO ",1,"NO ","NO ",0,369.738,"YES","NO ","NO ","NO ","None                          ","None                          ",117,0,0.6,0.9,"Factory Insulated             ",25,"Boiler with uninsulated primar",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,1015.854,175,4129.624,6223.167,2742.806,472.5,4542.586,6845.484,653.194,112.525,838.314,1263.303,71.19,2.41,46.06,2.63,0,0,0,0,0.15,"High                ",46.058,"",8,13622.644,2078.999,0,13.629,814.968,0,2494.799,0,1,0,"Grant Support","Oct 25 2018 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300mm Filled Cavity","Orignal House. Cavity pumped w",58.104,0.275,"No",8,5,"300mm Filled Cavity","Extension Cavity pumped with P",31.728,0.221,"No",10,5,"","",NA,NA,"",NA,NA
"Limerick City","Semi-detached house",2018,"Final          ","A3",51.61,159.67,0.19,0.12,0.14,1.4,1.4,120.67,66.39,60.92,23.48,3.77,3,10.15,"Electricity                   ","Electricity                   ",533,"NO",3,41.68,1,0,0,185,1,1,1,2,2,0,0,6,0,"NO","Natural vent.",0,0,"Please select                 ","No                            ",0,2,"YES",0.166,0,3,3,2,"YES",0,"NO ","NO ",0,"NO ","YES",0.14,450.898,"YES","YES","NO ","NO ","None                          ","None                          ",200,1.992,0.6,0.9,"Factory Insulated             ",35,"Boiler with uninsulated primar",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,720.511,260,2224.856,-153.173,1945.38,702,6007.111,-413.567,463.289,167.18,1430.582,-98.49,60.92,2.58,60.92,2.91,37.83,2.5,0,0,0.08,"Medium              ",23.09,"Ceiling 1st Floor - Adjusted  ",100,3052.194,0,0,10.5342,0,0,0,0,0,0,"Sale","Nov 15 2018 12:00AM",1,"Renewable Thermal","Heat Pump",0,342.22,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","150mm Cavity with 80mm Xtrathe",98.03,0.21,"No",0,9,"Timber Frame","Knee Walls - Adjusted",16.61,0.08,"No",0,8,"Timber Frame","Dormer Walls - Same as Timber ",6.03,0.2,"No",0,8
"Limerick City","Detached house",1920,"Existing       ","B3",142.55,190.04,0.59,0.3,0.53,2.2,3,146.57,91.36,98.68,24.36,4.24,2,35.72,"Heating Oil                   ","Heating Oil                   ",91.4,"NO",0,28.74,1,0.1,60,91.4,1,15,1,2,2,1,1,4,0,"NO","Natural vent.",0,0,"Masonry                       ","No                            ",100,0,"NO",0,0,3,1,1,"YES",1,"NO ","NO ",0,"NO ","NO ",0,502.401,"YES","NO ","NO ","NO ","None                          ","None                          ",95,0,0.6,0.9,"Factory Insulated             ",30,"Boiler with uninsulated primar",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,1080.52,230,4878.928,14144.102,2917.404,621,5366.821,15558.512,694.774,147.89,1327.068,3847.196,98.68,2.41,91.36,2.64,0,0,0,0,0.15,"Medium-high         ",57.97,"SLOPES                        ",74,22727.57,2394.02,0,16.3965,883.393,0,2633.422,0,0,0,"Sale","Nov 16 2018 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300mm Filled Cavity","50MM KINGSPAN DRYLINED",89.73,0.25,"No",10,5,"Stone","",36.34,0.58,"No",2,1,"Stone","KNEE WALL",20.5,2.1,"No",2,1
"Limerick City","Mid-floor apartment",1997,"Existing       ","C1",150.39,39.67,0.55,0,0,3.7,0,8.41,0,0,5.95,0,1,29.57,"Electricity                   ","Electricity                   ",100,"NO",0,45.69,1,0.1,100,100,1,28,1,2,2,0,0,2,0,"YES","Natural vent.",0,0,"Masonry                       ","No                            ",100,4,"NO",0,0.3,3,3,0,"NO ",0,"NO ","NO ",0,"NO ","NO ",0,193.464,"YES","NO ","NO ","NO ","None                          ","None                          ",120,0,0.6,1,"Factory Insulated             ",45,"Electric immersion heater     ",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,334.75,0,1739.758,121.6,903.825,0,4697.347,328.32,215.244,0,1118.664,78.189,39.67,2.57,0,0,0,0,0,0,0.15,"Medium-high         ",NA,"",13,2209.619,13.511,0,43.4837,8.688,0,36.48,0,0,0,"Sale","Oct 29 2018 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","8.41",8.41,0.55,"No",8,10,"","",NA,NA,"",NA,NA,"","",NA,NA,"",NA,NA
"Co. Kerry","Detached house",2006,"Existing       ","B2",106.83,152.64,0.32,0.14,0.25,2.27,2.61,152.48,77.82,77.72,26.25,5.86,2,25.85,"Heating Oil                   ","Heating Oil                   ",93.8,"NO",0,29.89,1,0,0,93.8,1,1,1,2,2,0,0,6,0,"NO","Natural vent.",0,0,"Timber or Steel Frame         ","No                            ",100,2,"NO",0,0,3,1,1,"YES",1,"YES","YES",0,"NO ","NO ",0,438.188,"YES","NO ","NO ","NO ","None                          ","None                          ",140,0,0.6,0.9,"Factory Insulated             ",10,"Boiler with uninsulated primar",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,688.788,230,4724.15,7842.808,1859.728,621,5196.565,8627.089,442.891,147.89,1284.969,2133.244,77.72,2.44,74.92,2.67,0,0,0,0,0.15,"Medium-low          ",74.92,"MAIN ROOF 300mm @ 0.044       ",100,13485.746,0,0,12.2707,0,0,0,0,0,0,"Sale","Nov 15 2018 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Timber Frame","MAIN WALL",152.48,0.32,"No",10,8,"","",NA,NA,"",NA,NA,"","",NA,NA,"",NA,NA
"Co. Dublin","Semi-detached house",2018,"Final          ","A2",40.31,127.18,0.14,0.14,0.14,1.15,1.88,129.2,63.59,63.59,19.93,3.63,2,7.93,"Electricity                   ","Electricity                   ",374,"NO",3,47.52,1,0,0,262,1,1,1,2,2,0,0,5,0,"NO","Natural vent.",0,0,"Masonry                       ","No                            ",100,2,"YES",0.35,0,3,3,1,"YES",0,"NO ","NO ",0,"NO ","YES",0.14,389.758,"YES","NO ","NO ","NO ","None                          ","None                          ",260,1.9,0.6,0.9,"Factory Insulated             ",50,"Boiler and thermal store withi",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,975.63,130,1144.423,-351.266,2634.201,351,3089.942,-948.418,627.33,83.59,735.864,-225.864,63.59,2.47,63.59,2.76,0,0,0,0,0.08,"Medium-low          ",63.59,"",30,1898.787,0,0,13.2647,0,0,0,0,0,0,"Sale","Nov  8 2018 12:00AM",2,"Renewable Electrical","PV",1063.2,1063.2,2.08,0.409,"",0,0,0,1,"Renewable Thermal","Heatpump",0,595.2,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Concrete Hollow Block","",129.2,0.14,"No",0,7,"","",NA,NA,"",NA,NA,"","",NA,NA,"",NA,NA
"Co. Mayo","Detached house",1950,"Existing       ","A3",62.9,76.47,0.25,0.15,0.72,2.2,3,94.86,82.66,76.47,9.9,1.92,1,14.71,"Electricity                   ","Electricity                   ",402,"NO",0,59.55,1,0.1,60,200,1,15,1,2,2,0,1,1,0,"NO","Natural vent.",0,0,"Masonry                       ","No                            ",92,2,"NO",0,0,3,1,1,"YES",0,"NO ","NO ",0,"NO ","NO ",0,281.601,"YES","YES","NO ","NO ","None                          ","None                          ",210,1.91,0.6,0.9,"None                          ",0,"Boiler with uninsulated primar",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,472.747,130,1243.669,-49.885,1276.417,351,3357.906,-134.69,303.976,83.59,799.679,-32.076,76.47,2.5,0,0,0,0,0,0,0.15,"Medium-high         ",56.08,"Original house                ",63,1759.394,-37.137,0,16.1109,-13.704,0,-40.851,0,1,0,"Grant Support","Nov 29 2018 12:00AM",1,"Renewable Thermal","Additional from heat pump",241.42,241.42,2.08,0.409,"",0,0,0,2,"Renewable Electrical","Solar PV",1633.6,1633.6,2.08,0.409,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","End 1 ext insulation",25.611,0.27,"No",4,10,"","End 2 ext insulation",13.767,0.17,"No",10,10,"","End 2 ext insulation",13.458,0.27,"No",4,10
"Dublin 22","Ground-floor apartment",2004,"Existing       ","C3",208.78,67.17,0.69,0,0.44,2.2,1.36,73.69,0,67.17,7.35,1.85,1,39.04,"Mains Gas                     ","Mains Gas                     ",79.6,"NO",0,33.83,1,0.1,100,79.6,1,28,1,2,2,0,0,1,0,"YES","Natural vent.",0,0,"Masonry                       ","No                            ",100,2,"NO",0,0,1,1,1,"YES",0,"NO ","NO ",1,"NO ","NO ",0,260.086,"YES","NO ","NO ","NO ","None                          ","None                          ",117,0,0.6,1.3,"Factory Insulated             ",30,"Boiler with uninsulated primar",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,606.209,175,4339.077,5333.267,1636.764,472.5,4772.985,5866.594,389.792,112.525,880.833,1082.653,67.17,2.38,0,0,0,0,0,0,0.15,"Medium-low          ",NA,"",0,10925.251,471.698,0,45.1839,303.302,0,1273.585,0,0,0,"Social housing letting","Nov 30 2018 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",55.8,0.55,"No",9,10,"","",17.89,1.13,"No",9,14,"","",NA,NA,"",NA,NA
"Dublin 11","End of terrace house",1974,"Existing       ","C1",162.45,80.84,0.26,0.15,0.84,2.7,2.53,87.14,44.85,45.83,9.11,6.12,2,30.27,"Mains Gas                     ","Mains Gas                     ",91,"NO",0,28.97,1,0,0,91,1,1,1,2,2,0,0,1,0,"NO","Natural vent.",0,0,"Masonry                       ","No                            ",100,2,"NO",0,0,2,1,1,"YES",0,"NO ","NO ",1,"NO ","NO ",0,291.486,"YES","NO ","NO ","NO ","None                          ","None                          ",95,0,0.6,0.9,"Factory Insulated             ",30,"Boiler with uninsulated primar",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,671.215,175,3355.21,6505.191,1812.281,472.5,3690.731,7155.71,431.591,112.525,681.108,1320.554,45.83,2.42,35.01,2.69,0,0,0,0,0.15,"Medium-high         ",35.01,"",16,10706.616,0,0,28.0307,0,0,0,0,0,0,"Social housing letting","Dec 11 2018 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solid Mass Concrete","",69.97,0.26,"No",5,6,"Concrete Hollow Block","",17.17,0.266,"No",5,7,"","",NA,NA,"",NA,NA
"Co. Wexford","Detached house",1999,"Existing       ","D1",256.27,210.64,0.55,0.39,0.42,3.1,3.04,113.97,222.23,144.33,55.68,1.83,2,64.35,"Heating Oil                   ","Heating Oil                   ",79,"NO",0,46.89,0.95,0.1,30,79,0.95,15,28,2,2,2,0,0,0,"NO","Natural vent.",0,0,"Masonry                       ","No                            ",96,0,"NO",0,0.6,1,1,1,"NO ",1,"NO ","YES",0,"NO ","NO ",0,534.217,"YES","NO ","NO ","YES","None                          ","None                          ",84,0,0.6,1.3,"None                          ",0,"Boiler with uninsulated primar",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,1863.005,230,4268.578,28780.734,5030.114,621,4695.436,31658.807,1197.912,147.89,1161.053,7828.36,144.33,2.75,0,0,0,0,0,0,0.15,"High                ",139.447,"",4,44312.242,7994.648,1175.277,9.69901,2950.025,755.703,8794.113,3173.248,0,66.31,"Sale","Dec 11 2018 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300mm Filled Cavity","",103.759,0.55,"No",8,5,"300mm Filled Cavity","",10.206,0.55,"No",9,5,"","",NA,NA,"",NA,NA
"Dublin 10","Semi-detached house",1960,"Existing       ","C2",178.91,67.78,0.27,0.16,0.84,2.53,3,64.12,35.76,33.89,13.97,1.85,2,37.62,"Mains Gas                     ","Mains Gas                     ",91.1,"NO",0,34.47,1,0.1,30,91.1,1,8,1,2,2,1,0,2,0,"NO","Natural vent.",0,0,"Masonry                       ","No                            ",100,2,"NO",0,0,2,1,1,"YES",0,"NO ","NO ",1,"NO ","NO ",0,261.498,"YES","NO ","NO ","NO ","None                          ","None                          ",95,0,0.6,0.9,"Factory Insulated             ",35,"Boiler with uninsulated primar",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,458.786,175,3132.075,4630.703,1238.722,472.5,3445.283,5093.773,294.999,112.525,635.811,940.033,33.89,2.43,33.89,2.72,0,0,0,0,0.15,"Medium              ",25.15,"Main Roof                     ",50,9958.997,1562.433,0,24.5943,612.474,0,1874.92,0,0,0,"Grant Support","Dec 12 2018 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Concrete Hollow Block","Main Walls",64.12,0.27,"No",4,7,"","",NA,NA,"",NA,NA,"","",NA,NA,"",NA,NA
"Co. Cork","Semi-detached house",1920,"Existing       ","E1",337.65,143.32,2.1,0.65,0.73,3.75,3.01,135.78,71.66,71.66,18.67,6.35,2,85.02,"Heating Oil                   ","Heating Oil                   ",79,"NO",0,41.32,0.95,0.1,60,79,0.95,15,28,2,2,1,1,1,0,"NO","Natural vent.",0,0,"Masonry                       ","No                            ",50,2,"NO",0,0.6,1,1,1,"NO ",1,"NO ","NO ",0,"NO ","NO ",0,420.909,"YES","NO ","NO ","NO ","None                          ","None                          ",95,0,0.6,1.3,"Loose Jacket                  ",25,"Boiler with uninsulated primar",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,1293.463,230,7096.685,29119.596,3492.35,621,7806.354,32031.556,831.697,147.89,1930.298,7920.53,71.66,2.56,71.66,2.8,0,0,0,0,0.15,"Medium              ",62.3,"",0,41784.132,4044.388,0,8.79152,1492.379,0,4448.827,0,0,0,"Sale","Dec 11 2018 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stone","",135.78,2.1,"No",2,1,"","",NA,NA,"",NA,NA,"","",NA,NA,"",NA,NA
